simTime,simFrame,playerId,markerid,roadId,laneId,prevId,nextId,laneType,laneColor,laneWidth,laneHeight,lateralDist,previewDx
8719.150455,523150,1,6,50,4,-1,-4,1,1,0.300000,-0.178167,-4.954163,60.000000,
8719.167121,523151,1,0,50,2,-1,-1,2,1,0.150000,0.092642,1.816054,60.000000,
8719.167121,523151,1,2,50,3,-1,-2,2,1,0.150000,-0.041251,-1.531269,60.000000,
8719.167121,523151,1,4,50,1,-1,-3,1,1,0.300000,0.229533,5.238317,60.000000,
8719.167121,523151,1,6,50,4,-1,-4,1,1,0.300000,-0.178141,-4.953533,60.000000,
8719.183788,523152,1,0,50,2,-1,-1,2,1,0.150000,0.092667,1.816684,60.000000,
8719.183788,523152,1,2,50,3,-1,-2,2,1,0.150000,-0.041226,-1.530639,60.000000,
8719.183788,523152,1,4,50,1,-1,-3,1,1,0.300000,0.229558,5.238947,60.000000,
8719.183788,523152,1,6,50,4,-1,-4,1,1,0.300000,-0.178116,-4.952903,60.000000,
8719.200455,523153,1,0,50,2,-1,-1,2,1,0.150000,0.092693,1.817313,60.000000,
8719.200455,523153,1,2,50,3,-1,-2,2,1,0.150000,-0.041200,-1.530010,60.000000,
8719.200455,523153,1,4,50,1,-1,-3,1,1,0.300000,0.229583,5.239576,60.000000,
8719.200455,523153,1,6,50,4,-1,-4,1,1,0.300000,-0.178091,-4.952273,60.000000,
8719.217121,523154,1,0,50,2,-1,-1,2,1,0.150000,0.092718,1.817942,60.000000,
8719.217121,523154,1,2,50,3,-1,-2,2,1,0.150000,-0.041175,-1.529381,60.000000,
8719.217121,523154,1,4,50,1,-1,-3,1,1,0.300000,0.229608,5.240206,60.000000,
8719.217121,523154,1,6,50,4,-1,-4,1,1,0.300000,-0.178066,-4.951644,60.000000,
8719.233788,523155,1,0,50,2,-1,-1,2,1,0.150000,0.092743,1.818571,60.000000,
8719.233788,523155,1,2,50,3,-1,-2,2,1,0.150000,-0.041150,-1.528752,60.000000,
8719.233788,523155,1,4,50,1,-1,-3,1,1,0.300000,0.229633,5.240834,60.000000,
8719.233788,523155,1,6,50,4,-1,-4,1,1,0.300000,-0.178041,-4.951015,60.000000,
8719.250455,523156,1,0,50,2,-1,-1,2,1,0.150000,0.092768,1.819199,60.000000,
8719.250455,523156,1,2,50,3,-1,-2,2,1,0.150000,-0.041125,-1.528124,60.000000,
8719.250455,523156,1,4,50,1,-1,-3,1,1,0.300000,0.229658,5.241463,60.000000,
8719.250455,523156,1,6,50,4,-1,-4,1,1,0.300000,-0.178015,-4.950387,60.000000,
8719.267121,523157,1,0,50,2,-1,-1,2,1,0.150000,0.092793,1.819827,60.000000,
8719.267121,523157,1,2,50,3,-1,-2,2,1,0.150000,-0.041100,-1.527496,60.000000,
8719.267121,523157,1,4,50,1,-1,-3,1,1,0.300000,0.229684,5.242090,60.000000,
8719.267121,523157,1,6,50,4,-1,-4,1,1,0.300000,-0.177990,-4.949759,60.000000,
8719.283788,523158,1,0,50,2,-1,-1,2,1,0.150000,0.092818,1.820454,60.000000,
8719.283788,523158,1,2,50,3,-1,-2,2,1,0.150000,-0.041075,-1.526869,60.000000,
8719.283788,523158,1,4,50,1,-1,-3,1,1,0.300000,0.229709,5.242718,60.000000,
8719.283788,523158,1,6,50,4,-1,-4,1,1,0.300000,-0.177965,-4.949132,60.000000,
8719.300455,523159,1,0,50,2,-1,-1,2,1,0.150000,0.092843,1.821081,60.000000,
8719.300455,523159,1,2,50,3,-1,-2,2,1,0.150000,-0.041050,-1.526242,60.000000,
8719.300455,523159,1,4,50,1,-1,-3,1,1,0.300000,0.229734,5.243345,60.000000,
8719.300455,523159,1,6,50,4,-1,-4,1,1,0.300000,-0.177940,-4.948505,60.000000,
8719.317121,523160,1,0,50,2,-1,-1,2,1,0.150000,0.092868,1.821708,60.000000,
8719.317121,523160,1,2,50,3,-1,-2,2,1,0.150000,-0.041025,-1.525615,60.000000,
8719.317121,523160,1,4,50,1,-1,-3,1,1,0.300000,0.229759,5.243971,60.000000,
8719.317121,523160,1,6,50,4,-1,-4,1,1,0.300000,-0.177915,-4.947879,60.000000,
